因子代码,曾用名,开始时间,结束时间,研发状态,因子说明,数据类型,指数及指数列名,分钟指数及指数列名,选股指数,衍生因子,更新方式,是否盘口因子,因子平滑方式,备注,因子数据分布特征,1日rankIC,5日rankIC,20日rankIC,,,,
hf_wjt_019[5],hf_wjt_019[5],2020-04-09,,测试,相对报价价差 日内均值 滚动N日均值,date_tick,None,None,None,否,增量,否,None,,,,,,,,,
hf_wjt_020[5],hf_wjt_020[5],2020-04-09,,测试,相对有效价差 日内均值 滚动N日均值,date_tick,None,None,None,否,增量,否,None,,,,,,,,,
hf_wjt_021[5],hf_wjt_021[5],2020-04-10,,测试,Amihud 非流动性指标（|收益率|/成交额）全日均值再取N日均值,date_tick,None,None,None,否,增量,否,None,,,,,,,,,
hf_wjt_022[5],hf_wjt_022[5],2020-04-10,,测试,0收益Tick 占比 全日均值再取N日均值,date_tick,None,None,None,否,增量,否,None,,,,,,,,,
hf_wjt_023[5],hf_wjt_023[5],2020-04-13,2020-04-13,入库,Amihud 非流动性指标(Min) 全日均值再取N日均值,code_min,None,None,None,否,增量,否,None,,,0.036057996,0.066850584,0.099540563,,,,
hf_wjt_024[5],hf_wjt_024[5],2020-04-15,,测试,0收益Min 占比 全日均值再取N日均值,code_min,None,None,None,否,增量,否,None,,,,,,,,,
hf_wjt_025[5-10],hf_wjt_025[5-10],2020-04-22,2020-04-22,入库,股票相对价格位置,code_min,None,None,None,否,增量,否,None,,在0到1之间,0.030306513,0.056991868,0.063896342,,,,
hf_wjt_026[15-20],hf_wjt_026[15-20],2020-09-28,2020-09-28,备用,收盘前15分钟成交量占日总成交量的比例,code_min,None,None,None,否,增量,否,None,20日均值（越小越好，表现优异，好因子）,,,-0.019655812,-0.036626846,,,,
hf_wjt_027[20],hf_wjt_027[20],2020-09-28,2020-09-28,备用,正成交量指标PVI ,code_min,None,None,None,否,增量,否,None,20日均值（越小越好，短期表现优于长期）,,,-0.037104384,-0.036040843,,,,
hf_wjt_028[5-10-20],hf_wjt_028[5-10-20],2020-09-28,2020-09-28,备用,不同期间累计成交量方差比,code_min,None,None,None,否,增量,否,None,20日均值（越大越好，长期表现优于短期）,,,0.050986695,0.075124476,,,,
hf_wjt_029[5-40],hf_wjt_029[5-40],2020-09-28,2020-09-28,备用,风险模糊度VoV,code_min,None,None,None,否,增量,否,None,由于使用但股票所有分钟数据计算因子，无法对日内数据在截面上做标准化处理，越小越好,,,-0.07258493,-0.103007911,,,,
hf_wjt_030[20],hf_wjt_030[20],2020-09-28,2020-09-28,备用,日内价格与成交量的负相关性,code_min,None,None,None,否,增量,否,None,20日均值（越小越好，表现为背离）,,,-0.057821486,-0.083812953,,,,
hf_wjt_031[20],hf_wjt_031[20],2020-09-28,2020-09-28,备用,优化后的量在价先因子  adj_CORA_A,code_min,None,None,None,否,增量,否,None,,,,-0.036772239,-0.048629054,,,,
hf_wjt_032[20],hf_wjt_032[20],2020-09-28,2020-09-28,备用,优化后的价在量先因子  adj_CORA_R,code_min,None,None,None,否,增量,否,None,,,,-0.058380647,-0.073684962,,,,
hf_wjt_033[5],hf_wjt_033[5],2020-09-28,2020-09-28,备用,Amihud 非流动性指标(Min) 全日均值再取N日均值,code_min,None,None,None,否,增量,否,None,,,,0.067121595,0.097949905,,,,
