ÈÕÆÚ,¹ÉÆ±
20211231,"	000970"
20211231,"	000999"
20211231,"	002625"
20211231,"	002701"
20211231,"	300026"
20211231,"	600085"
20211231,"	600566"
20211231,"	600637"
20211231,"	600795"
20211231,"	600927"
20211231,"	601717"
20211231,"	601865"
20211231,"	688536"
20220104,"	000519"
20220104,"	000629"
20220104,"	000999"
20220104,"	002024"
20220104,"	002131"
20220104,"	002195"
20220104,"	002240"
20220104,"	002371"
20220104,"	002603"
20220104,"	002821"
20220104,"	002985"
20220104,"	300058"
20220104,"	600027"
20220104,"	600085"
20220104,"	600141"
20220104,"	600373"
20220104,"	600499"
20220104,"	600563"
20220104,"	600566"
20220104,"	600728"
20220104,"	600732"
20220104,"	600927"
20220104,"	601865"
20220104,"	603259"
20220104,"	603707"
20220104,"	605117"
20220104,"	688536"
20220105,"	000537"
20220105,"	000738"
20220105,"	002195"
20220105,"	002268"
20220105,"	600018"
20220105,"	601456"
20220105,"	603986"
20220105,"	688536"
20220106,"	000778"
20220106,"	000999"
20220106,"	002191"
20220106,"	300026"
20220106,"	601669"
20220106,"	601717"
20220106,"	601868"
20220106,"	688188"
20220107,"	000778"
20220107,"	002195"
20220107,"	002603"
20220107,"	002756"
20220107,"	600158"
20220107,"	600307"
20220107,"	600466"
20220107,"	600529"
20220107,"	601100"
20220107,"	688536"
20220110,"	000876"
20220110,"	002603"
20220110,"	600399"
20220110,"	600466"
20220110,"	600528"
20220110,"	600823"
20220110,"	601016"
20220110,"	601456"
20220110,"	601696"
20220110,"	601865"
20220110,"	603019"
20220110,"	603259"
20220110,"	603267"
20220110,"	603659"
20220110,"	603786"
20220110,"	688536"
20220110,"	688777"
20220111,"	002244"
20220111,"	600096"
20220111,"	600233"
20220112,"	000400"
20220112,"	000960"
20220112,"	002191"
20220112,"	600131"
20220112,"	600765"
20220112,"	601179"
20220112,"	603392"
20220112,"	603613"
20220112,"	603799"
20220113,"	000046"
20220113,"	000537"
20220113,"	000630"
20220113,"	000983"
20220113,"	002191"
20220113,"	002603"
20220113,"	002831"
20220113,"	600131"
20220113,"	600329"
20220113,"	600466"
20220113,"	600875"
20220113,"	601162"
20220113,"	603077"
20220114,"	000887"
20220114,"	002030"
20220114,"	002212"
20220114,"	002505"
20220114,"	002603"
20220114,"	002701"
20220114,"	300182"
20220114,"	300482"
20220114,"	600718"
20220114,"	600927"
20220114,"	601689"
20220114,"	603077"
20220117,"	000158"
20220117,"	001227"
20220117,"	002001"
20220117,"	002048"
20220117,"	002191"
20220117,"	002195"
20220117,"	002368"
20220117,"	002603"
20220117,"	300166"
20220117,"	300182"
20220117,"	600588"
20220117,"	600776"
20220117,"	601456"
20220117,"	601865"
20220117,"	603259"
20220117,"	603267"
20220117,"	603392"
20220117,"	603858"
20220117,"	603868"
20220117,"	603893"
20220117,"	688180"
20220118,"	000537"
20220118,"	000540"
20220118,"	000778"
20220118,"	001227"
20220118,"	002195"
20220118,"	002945"
20220118,"	300168"
20220118,"	600011"
20220118,"	600021"
20220118,"	600027"
20220118,"	600126"
20220118,"	600315"
20220118,"	600426"
20220118,"	600637"
20220118,"	601117"
20220118,"	601669"
20220118,"	601800"
20220118,"	601868"
20220118,"	603858"
20220118,"	605499"
20220119,"	000661"
20220119,"	001227"
20220119,"	002048"
20220119,"	002326"
20220119,"	002555"
20220119,"	002756"
20220119,"	600808"
20220119,"	601636"
20220119,"	603456"
20220119,"	688536"
20220120,"	000656"
20220120,"	000661"
20220120,"	000792"
20220120,"	001227"
20220120,"	002939"
20220120,"	002945"
20220120,"	600195"
20220120,"	600808"
20220120,"	600862"
20220120,"	601155"
20220120,"	601665"
20220120,"	601669"
20220120,"	603833"
20220120,"	688208"
20220120,"	688536"
20220121,"	000661"
20220121,"	001227"
20220121,"	002013"
20220121,"	002390"
20220121,"	002653"
20220121,"	002945"
20220121,"	600021"
20220121,"	600196"
20220121,"	600546"
20220121,"	600760"
20220121,"	600765"
20220121,"	600862"
20220121,"	601058"
20220121,"	601138"
20220121,"	601162"
20220121,"	601238"
20220121,"	601568"
20220121,"	601598"
20220121,"	601601"
20220121,"	601665"
20220121,"	601669"
20220121,"	601799"
20220121,"	601800"
20220121,"	601878"
20220121,"	601888"
20220121,"	601966"
20220121,"	601975"
20220121,"	603087"
20220121,"	603195"
20220121,"	603198"
20220121,"	603218"
20220121,"	603233"
20220121,"	603267"
20220121,"	603658"
20220121,"	603719"
20220121,"	603806"
20220121,"	603927"
20220121,"	603983"
20220121,"	603986"
20220121,"	605499"
20220121,"	688088"
20220121,"	688185"
20220121,"	688208"
20220121,"	688536"
20220121,"	688599"
20220124,"	000408"
20220124,"	000519"
20220124,"	000661"
20220124,"	000792"
20220124,"	001227"
20220124,"	001289"
20220124,"	002152"
20220124,"	002153"
20220124,"	002459"
20220124,"	002460"
20220124,"	002624"
20220124,"	002756"
20220124,"	300741"
20220124,"	600026"
20220124,"	601689"
20220124,"	605117"
20220124,"	688536"
20220124,"	689009"
20220125,"	000062"
20220125,"	000537"
20220125,"	000937"
20220125,"	001227"
20220125,"	001289"
20220125,"	002155"
20220125,"	002195"
20220125,"	002326"
20220125,"	600348"
20220125,"	600776"
20220125,"	600795"
20220125,"	600827"
20220126,"	001227"
20220126,"	001289"
20220126,"	002625"
20220126,"	300257"
20220126,"	600160"
20220126,"	600171"
20220126,"	600522"
20220126,"	600643"
20220126,"	600648"
20220126,"	600655"
20220126,"	600718"
20220126,"	600729"
20220126,"	600795"
20220126,"	600927"
20220126,"	601066"
20220126,"	601179"
20220126,"	601456"
20220126,"	603605"
20220126,"	603650"
20220126,"	603707"
20220126,"	603858"
20220126,"	688005"
20220126,"	688169"
20220127,"	000158"
20220127,"	000636"
20220127,"	001227"
20220127,"	001289"
20220127,"	002050"
20220127,"	002155"
20220127,"	002815"
20220127,"	002945"
20220127,"	600718"
20220127,"	688169"
20220127,"	688536"
20220128,"	000519"
20220128,"	000528"
20220128,"	000656"
20220128,"	000807"
20220128,"	000983"
20220128,"	001227"
20220128,"	001289"
20220128,"	002155"
20220128,"	002203"
20220128,"	002505"
20220128,"	002815"
20220128,"	300919"
20220128,"	600466"
20220128,"	600563"
20220128,"	600808"
20220128,"	600906"
20220128,"	601333"
20220128,"	603833"
20220128,"	688169"
20220128,"	688208"
20220128,"	688536"
20220207,"	000046"
20220207,"	000540"
20220207,"	000596"
20220207,"	000656"
20220207,"	000671"
20220207,"	000778"
20220207,"	000831"
20220207,"	000877"
20220207,"	000898"
20220207,"	000959"
20220207,"	000961"
20220207,"	001227"
20220207,"	002024"
20220207,"	002081"
20220207,"	002146"
20220207,"	002157"
20220207,"	002353"
20220207,"	002375"
20220207,"	002382"
20220207,"	002434"
20220207,"	002739"
20220207,"	002815"
20220207,"	002867"
20220207,"	600006"
20220207,"	600010"
20220207,"	600022"
20220207,"	600028"
20220207,"	600036"
20220207,"	600079"
20220207,"	600095"
20220207,"	600111"
20220207,"	600120"
20220207,"	600143"
20220207,"	600158"
20220207,"	600160"
20220207,"	600171"
20220207,"	600219"
20220207,"	600258"
20220207,"	600271"
20220207,"	600307"
20220207,"	600339"
20220207,"	600362"
20220207,"	600426"
20220207,"	600466"
20220207,"	600482"
20220207,"	600499"
20220207,"	600522"
20220207,"	600549"
20220207,"	600567"
20220207,"	600572"
20220207,"	600580"
20220207,"	600585"
20220207,"	600623"
20220207,"	600639"
20220207,"	600643"
20220207,"	600648"
20220207,"	600655"
20220207,"	600663"
20220207,"	600699"
20220207,"	600705"
20220207,"	600707"
20220207,"	600718"
20220207,"	600733"
20220207,"	600737"
20220207,"	600741"
20220207,"	600745"
20220207,"	600754"
20220207,"	600760"
20220207,"	600787"
20220207,"	600795"
20220207,"	600801"
20220207,"	600808"
20220207,"	600823"
20220207,"	600827"
20220207,"	600871"
20220207,"	600872"
20220207,"	600879"
20220207,"	600887"
20220207,"	600895"
20220207,"	600905"
20220207,"	600917"
20220207,"	600918"
20220207,"	600919"
20220207,"	600928"
20220207,"	600956"
20220207,"	600967"
20220207,"	600968"
20220207,"	600989"
20220207,"	601016"
20220207,"	601066"
20220207,"	601077"
20220207,"	601106"
20220207,"	601108"
20220207,"	601118"
20220207,"	601155"
20220207,"	601156"
20220207,"	601186"
20220207,"	601198"
20220207,"	601200"
20220207,"	601211"
20220207,"	601216"
20220207,"	601225"
20220207,"	601236"
20220207,"	601298"
20220207,"	601319"
20220207,"	601328"
20220207,"	601360"
20220207,"	601377"
20220207,"	601577"
20220207,"	601600"
20220207,"	601611"
20220207,"	601618"
20220207,"	601628"
20220207,"	601658"
20220207,"	601668"
20220207,"	601669"
20220207,"	601689"
20220207,"	601698"
20220207,"	601717"
20220207,"	601718"
20220207,"	601800"
20220207,"	601808"
20220207,"	601825"
20220207,"	601828"
20220207,"	601838"
20220207,"	601857"
20220207,"	601866"
20220207,"	601880"
20220207,"	601898"
20220207,"	601901"
20220207,"	601928"
20220207,"	601939"
20220207,"	601985"
20220207,"	601990"
20220207,"	601995"
20220207,"	601997"
20220207,"	603000"
20220207,"	603026"
20220207,"	603127"
20220207,"	603156"
20220207,"	603160"
20220207,"	603185"
20220207,"	603228"
20220207,"	603288"
20220207,"	603290"
20220207,"	603317"
20220207,"	603338"
20220207,"	603355"
20220207,"	603379"
20220207,"	603392"
20220207,"	603444"
20220207,"	603456"
20220207,"	603515"
20220207,"	603517"
20220207,"	603605"
20220207,"	603613"
20220207,"	603638"
20220207,"	603650"
20220207,"	603708"
20220207,"	603833"
20220207,"	603899"
20220207,"	605358"
20220207,"	688029"
20220207,"	688036"
20220207,"	688065"
20220207,"	688111"
20220207,"	688122"
20220207,"	688188"
20220207,"	688390"
20220207,"	688396"
20220207,"	688561"
20220207,"	688819"
20220207,"	688981"
20220208,"	000046"
20220208,"	000537"
20220208,"	000540"
20220208,"	001227"
20220208,"	002157"
20220208,"	002434"
20220208,"	002459"
20220208,"	002475"
