         29650667 function calls (29094292 primitive calls) in 19.868 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1140    0.005    0.000    0.068    0.000 indexing.py:1800(_setitem_with_indexer_split_path)
      285    0.001    0.000    0.067    0.000 arraylike.py:61(__ge__)
    11890    0.004    0.000    0.067    0.000 expressions.py:226(evaluate)
 6872/859    0.019    0.000    0.066    0.000 _colorizer.py:436(_parse_without_formatting)
    33211    0.028    0.000    0.066    0.000 config.py:117(_get_single_key)
     1750    0.001    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
     4164    0.005    0.000    0.065    0.000 artist.py:1437(get_valid_values)
    16128    0.007    0.000    0.064    0.000 generic.py:5982(f)
    65507    0.064    0.000    0.064    0.000 {method 'settimeout' of '_socket.socket' objects}
     9610    0.003    0.000    0.063    0.000 <__array_function__ internals>:177(broadcast_to)
    11890    0.006    0.000    0.062    0.000 expressions.py:94(_evaluate_numexpr)
     1146    0.003    0.000    0.062    0.000 concat.py:527(_concatenate_join_units)
    24926    0.017    0.000    0.061    0.000 series.py:566(_set_axis)
     2567    0.005    0.000    0.061    0.000 frame.py:4882(_sanitize_column)
    22078    0.011    0.000    0.061    0.000 _ufunc_config.py:429(__enter__)
    14471    0.015    0.000    0.061    0.000 base.py:590(_dtype_to_subclass)
    88235    0.045    0.000    0.060    0.000 blocks.py:2117(get_block_type)
      858    0.004    0.000    0.060    0.000 _handler.py:98(emit)
    49304    0.018    0.000    0.060    0.000 base.py:7410(maybe_extract_name)
        2    0.000    0.000    0.060    0.030 generic.py:1(<module>)
     9610    0.004    0.000    0.060    0.000 <__array_function__ internals>:177(prod)
   154652    0.020    0.000    0.060    0.000 sysconfig.py:151(_subst_vars)
     2280    0.002    0.000    0.060    0.000 indexing.py:893(_convert_tuple)
    33410    0.029    0.000    0.059    0.000 construction.py:745(_try_cast)
     9616    0.026    0.000    0.057    0.000 missing.py:268(_isna_array)
    22667    0.018    0.000    0.057    0.000 common.py:235(asarray_tuplesafe)
   661834    0.057    0.000    0.057    0.000 {method 'startswith' of 'str' objects}
      576    0.002    0.000    0.057    0.000 managers.py:1841(_consolidate_inplace)
    36445    0.019    0.000    0.057    0.000 base.py:5502(equals)
     2280    0.002    0.000    0.057    0.000 indexing.py:897(<listcomp>)
     1140    0.004    0.000    0.056    0.000 indexing.py:1958(_setitem_single_column)
     9610    0.015    0.000    0.056    0.000 managers.py:1066(fast_xs)
     9610    0.003    0.000    0.055    0.000 stride_tricks.py:367(broadcast_to)
    48737    0.021    0.000    0.055    0.000 common.py:1247(is_float_dtype)
      289    0.001    0.000    0.055    0.000 base.py:6070(get_indexer_for)
     4561    0.008    0.000    0.055    0.000 indexing.py:1334(_convert_to_indexer)
        1    0.054    0.054    0.054    0.054 {method 'factorize' of 'pandas._libs.hashtable.StringHashTable' objects}
    23501    0.013    0.000    0.054    0.000 common.py:96(is_bool_indexer)
        1    0.000    0.000    0.053    0.053 _subplots.py:1(<module>)
     1140    0.002    0.000    0.053    0.000 managers.py:422(shift)
    11890    0.003    0.000    0.053    0.000 expressions.py:65(_evaluate_standard)
    26071    0.020    0.000    0.053    0.000 base.py:54(shape)
    63470    0.010    0.000    0.052    0.000 base.py:7315(ensure_index)
     9610    0.038    0.000    0.052    0.000 stride_tricks.py:340(_broadcast_to)
    14702    0.007    0.000    0.052    0.000 {method 'sum' of 'numpy.ndarray' objects}
      285    0.000    0.000    0.051    0.000 arraylike.py:49(__lt__)
    16128    0.005    0.000    0.051    0.000 managers.py:666(consolidate)
     9610    0.006    0.000    0.051    0.000 fromnumeric.py:2927(prod)
        1    0.000    0.000    0.051    0.051 frame.py:1(<module>)
     3420    0.009    0.000    0.051    0.000 concat.py:635(_is_uniform_join_units)
     4805    0.006    0.000    0.051    0.000 ops.py:1352(_chop)
   267873    0.035    0.000    0.050    0.000 base.py:927(__len__)
      286    0.002    0.000    0.050    0.000 managers.py:2286(_consolidate)
      285    0.001    0.000    0.050    0.000 gzip.py:25(open)
        1    0.000    0.000    0.050    0.050 _axes.py:1(<module>)
    34824    0.012    0.000    0.049    0.000 managers.py:226(set_axis)
    16703    0.005    0.000    0.049    0.000 frame.py:4261(_clear_item_cache)
        1    0.000    0.000    0.049    0.049 _kdtree.py:3(<module>)
      285    0.003    0.000    0.049    0.000 gzip.py:133(__init__)
      858    0.003    0.000    0.049    0.000 {method 'format_map' of 'str' objects}
     5090    0.006    0.000    0.048    0.000 managers.py:267(get_dtypes)
       24    0.000    0.000    0.048    0.002 __init__.py:109(import_module)
       24    0.000    0.000    0.048    0.002 <frozen importlib._bootstrap>:1002(_gcd_import)
        1    0.000    0.000    0.048    0.048 _continuous_distns.py:6(<module>)
     1232    0.048    0.000    0.048    0.000 {built-in method io.open_code}
     4805    0.006    0.000    0.046    0.000 frame.py:7686(_construct_result)
    22078    0.008    0.000    0.046    0.000 _ufunc_config.py:434(__exit__)
     1140    0.003    0.000    0.046    0.000 blocks.py:1277(shift)
   122131    0.028    0.000    0.046    0.000 series.py:612(name)
    14702    0.003    0.000    0.046    0.000 _methods.py:46(_sum)
    65467    0.014    0.000    0.045    0.000 protocol.py:165(read_length_coded_string)
     6963    0.025    0.000    0.045    0.000 inspect.py:625(cleandoc)
    16871    0.044    0.000    0.044    0.000 {method 'clear' of 'dict' objects}
     1140    0.002    0.000    0.044    0.000 managers.py:1354(column_setitem)
        1    0.000    0.000    0.044    0.044 contour.py:1(<module>)
      858    0.017    0.000    0.044    0.000 _datetime.py:13(__format__)
    24422    0.008    0.000    0.044    0.000 base.py:286(is_dtype)
     1232    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        1    0.000    0.000    0.043    0.043 _distn_infrastructure.py:5(<module>)
   167383    0.043    0.000    0.043    0.000 {method 'format' of 'str' objects}
      323    0.043    0.000    0.043    0.000 {built-in method io.open}
        1    0.000    0.000    0.043    0.043 po.py:3(<module>)
       16    0.000    0.000    0.042    0.003 __init__.py:228(__getattr__)
        2    0.000    0.000    0.042    0.021 array.py:1(<module>)
   145140    0.036    0.000    0.042    0.000 construction.py:462(ensure_wrapped_if_datetimelike)
     6925    0.002    0.000    0.042    0.000 inspect.py:606(getdoc)
    36866    0.028    0.000    0.042    0.000 base.py:692(_simple_new)
      287    0.001    0.000    0.041    0.000 _logger.py:1975(info)
    13751    0.028    0.000    0.041    0.000 _colorizer.py:217(feed)
    12914    0.007    0.000    0.041    0.000 re.py:289(_compile)
        1    0.000    0.000    0.041    0.041 events.py:9(<module>)
     2282    0.001    0.000    0.041    0.000 <__array_function__ internals>:177(insert)
        1    0.000    0.000    0.040    0.040 result.py:1068(fetchall)
        1    0.000    0.000    0.040    0.040 result.py:395(_allrows)
        1    0.040    0.040    0.040    0.040 result.py:403(<listcomp>)
     4805    0.003    0.000    0.040    0.000 managers.py:429(fillna)
   153299    0.027    0.000    0.040    0.000 inference.py:326(is_hashable)
     1140    0.001    0.000    0.040    0.000 arraylike.py:329(reconstruct)
    35510    0.013    0.000    0.040    0.000 common.py:163(is_object_dtype)
      107    0.001    0.000    0.039    0.000 _distn_infrastructure.py:1900(__init__)
     1140    0.003    0.000    0.039    0.000 arraylike.py:336(_reconstruct)
    15341    0.012    0.000    0.039    0.000 numeric.py:289(full)
        1    0.000    0.000    0.039    0.039 base.py:7(<module>)
     9640    0.004    0.000    0.039    0.000 <__array_function__ internals>:177(any)
   154110    0.021    0.000    0.039    0.000 common.py:1745(<genexpr>)
